Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A204,11157318192961800,12/1/20,20024673,L,6,A204,51.76,44.61,7.76,21.1,15.75,15.75,,,
A205,11189450762237028,12/1/20,20024675,L,6,A205,23.63,24.1,3.54,13.57,6.99,6.99,,,
A206,11266940179717046,12/1/20,20003141,Q,1,A206,36.54,31.37,5.48,17.06,8.98,8.83,,,
A207,11267765537982615,12/1/20,20024677,L,1,A207,50.48,47.99,7.57,35.67,4.75,4.75,,,
A208,11249054065660242,12/1/20,20003142,Q,1,A208,98.94,67.75,14.84,46.54,8.98,6.37,,,
A209,11425214605068250,12/1/20,20024676,C,1,A209,30.83,21.63,4.62,5.71,11.3,11.3,,,
A210,11427025026853823,12/1/20,20003141,O,1,A210,32.4,31.28,3.89,18.41,8.98,8.98,,,
A211,11136611786604200,12/1/20,20024691,D,1,A211,14.38,64.56,2.16,3.88,58.52,58.52,,,
A212,11227796016804233,12/1/20,20024690,J,1,A212,177.18,180.18,21.17,149.96,9.05,9.05,,,
A213,11396966885949813,12/1/20,20024692,J,1,A213,132.03,134.67,7.92,115.85,10.9,10.9,,,
A214,11254943149077024,12/1/20,20024678,L,1,A214,16.67,13.37,2.5,6.12,4.75,4.75,,,
A215,11203575926527433,12/1/20,20003142,Q,1,A215,18.72,18.29,2.81,9.11,8.98,6.37,,,
A216,11214020840509027,12/1/20,20003142,Q,1,A216,98.94,68.21,14.84,46.54,8.98,6.83,,,
A217,11106687211481003,12/1/20,20024679,L,1,A217,18.27,18.5,2.74,11.01,4.75,4.75,,,
A218,11308387619727439,12/1/20,20024680,L,2,A218,19.76,19.25,2.96,10.54,5.75,5.75,,,
A219,11444495415373015,12/1/20,20024683,L,1,A219,14.48,14.53,2.17,7.61,4.75,4.75,,,
A220,11442935672131457,12/1/20,20024685,L,1,A220,29.57,29.41,4.44,20.22,4.75,4.75,,,
A221,11350877184070656,12/1/20,20024686,L,50,A221,50.57,49.04,7.59,31.46,9.99,9.99,,,
A222,11191841176862645,12/1/20,20003143,O,2,A222,26.68,25.16,2.14,14.04,8.98,8.98,,,
A223,11179346641124241,12/1/20,20024689,C,1,A223,38.46,39.23,5.77,21.02,12.44,12.44,,,
A224,11266930721184234,12/1/20,20025454,L,2,A224,12.39,12.64,0.99,6.9,4.75,4.75,,,
A225,11113712928804228,12/1/20,20024688,H,1,A225,23.73,24.02,3.56,14.21,4.75,4.75,,,
A226,11343207965597813,12/1/20,20024687,L,2,A226,18.5,18.79,2.78,11.26,4.75,4.75,,,
A227,11331714099081022,12/1/20,20003147,Q,1,A227,63.77,48.02,9.57,27.07,10.3,11.38,,,
A228,11300854145573009,12/1/20,20025453,L,24,A228,86.4,77.54,12.96,55.08,9.5,9.5,,,
A229,11225181786872251,12/1/20,20025452,L,12,A229,53.77,50.69,8.07,28.63,13.99,13.99,,,
A230,11345859740473839,12/1/20,20025451,L,12,A230,44.36,39.24,6.65,25.09,7.5,7.5,,,
A231,11247394562465854,12/1/20,20024710,L,2,A231,22.83,22.59,3.42,14.42,4.75,4.75,,,
A232,11427458242023448,12/1/20,20003147,Q,2,A232,10.19,11.98,1.53,4.08,8.98,6.37,,,
A233,11302716192004277,12/1/20,20003147,Q,4,A233,24.78,24.87,1.98,14.68,8.98,8.21,,,
A234,11224984340845837,12/1/20,20024711,L,1,A234,14.05,13.96,1.12,5.85,6.99,6.99,,,
A235,11493488602321055,12/1/20,20025450,L,1,A235,17.27,17.33,2.59,9.99,4.75,4.75,,,
A236,11142711005098624,12/1/20,20025449,L,6,A236,31.6,32.23,4.74,17.99,9.5,9.5,,,
A237,11298251269294633,12/1/20,20024694,D,1,A237,25.26,75.52,3.79,13.21,58.52,58.52,,,
A238,11303312149645862,12/1/20,20003148,Q,1,A238,22.44,14.54,3.37,4.8,8.38,6.37,,,
A239,11114349173779459,12/1/20,20003144,P,1,A239,10.49,14.8,1.57,4.25,8.98,8.98,,,
A240,11404925111667465,12/1/20,20003148,Q,1,A240,19.75,15.33,2.96,6,8.14,6.37,,,
A241,11257751069016266,12/1/20,20024693,J,1,A241,203.16,207.22,12.19,183.07,11.96,11.96,,,
A242,11300480508661044,12/1/20,20025448,L,6,A242,50.4,28.67,4.02,18.9,5.75,5.75,,,
A243,11163267129847422,12/1/20,20003148,Q,1,A243,9.7,10.76,0.78,3.61,8.98,6.37,,,
A244,11418770199585012,12/1/20,20025447,L,6,A244,38.5,38.69,5.78,22.92,9.99,9.99,,,
A245,11347195309998666,12/1/20,20003148,Q,1,A245,9.01,10.3,0.72,1.64,8.98,7.94,,,
A246,11488258059653829,12/1/20,20003148,Q,1,A246,18.94,19.53,2.84,10.32,8.93,6.37,,,
A247,11370492706824215,12/1/20,20025446,L,10,A247,51.49,49.71,7.72,32,9.99,9.99,,,
A248,11354897940535433,12/1/20,20003144,Q,1,A248,68.05,72.03,10.21,54.55,8.98,7.27,,,
