Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A157,11434140948679418,1/1/21,20005576,Q,1,A157,33.89,28.86,5.08,17.09,8.98,6.69,,,
A158,11393551054872206,1/1/21,20005576,Q,1,A158,33.89,28.86,5.08,17.09,8.98,6.69,,,
A159,11271459515915431,1/1/21,20005577,Q,6,A159,25.42,23.31,3.81,12.96,9.35,6.54,,,
A160,11244308933997046,1/1/21,20036156,L,1,A160,11.09,9.97,1.66,3.56,4.75,4.75,,,
A161,11100730984569841,1/1/21,20005577,Q,1,A161,21.99,20.43,3.3,9.97,8.98,7.16,,,
A162,11460153820000217,1/1/21,20005577,Q,1,A162,33.89,31.59,5.08,17.09,8.98,9.42,,,
A163,11462065096861018,1/1/21,20005577,Q,1,A163,94.49,67.09,14.17,46.54,8.98,6.38,,,
A164,11480293965121068,1/1/21,20005577,Q,1,A164,33.89,30.44,5.08,17.09,8.98,8.27,,,
A165,11259651859192240,1/1/21,20005577,Q,14,A165,43.56,51.02,6.54,19.74,9.46,24.74,,,
A166,11291573901465019,1/1/21,20005577,Q,1,A166,33.89,28.55,5.08,17.09,8.3,6.38,,,
A167,11170659850186631,1/1/21,20036157,L,6,A167,33.99,33.82,5.1,21.73,6.99,6.99,,,
A168,11425055162693806,1/1/21,20005578,Q,1,A168,33.89,29.81,5.08,17.09,8.98,7.64,,,
A169,11265118394012205,1/1/21,20005578,Q,2,A169,23.05,18.36,3.46,8.52,8.98,6.38,,,
A170,11342563672806623,1/1/21,20036158,C,1,A170,34.81,35.57,5.22,18.84,11.51,11.51,,,
A171,11261086602894611,1/1/21,20005578,Q,1,A171,33.89,29.81,5.08,17.09,8.98,7.64,,,
A172,11334134774464232,1/1/21,20036159,L,6,A172,19.37,18.91,2.91,9.01,6.99,6.99,,,
A173,11470148944058622,1/1/21,20005578,Q,1,A173,33.89,29.81,5.08,17.09,8.98,7.64,,,
