Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A186,11136362636731420,11/30/20,20024313,L,12,A186,24.85,24.15,3.73,13.43,6.99,6.99,,,
A187,11238874065244224,11/22/20,20020472,L,1,A187,50.4,47.98,7.56,35.67,4.75,4.75,,,
A188,11139142740705828,11/30/20,20024276,L,12,A188,24.85,24.15,3.73,13.43,6.99,6.99,,,
A189,11353884661085859,11/18/20,20019075,L,1,A189,50.4,47.98,7.56,35.67,4.75,4.75,,,
A190,11328759982114665,11/30/20,20024027,L,12,A190,24.85,24.15,3.73,13.43,6.99,6.99,,,
A191,11419464443612265,11/6/20,20015480,L,6,A191,16.31,21.62,2.45,12.18,6.99,6.99,,,
A192,11484581175344206,11/18/20,20018805,L,1,A192,50.11,47.94,7.52,35.67,4.75,4.75,,,
A193,11412737512832233,11/25/20,20022284,L,1,A193,50.46,40.42,0,35.67,4.75,4.75,,,
A194,11353810510761861,11/28/20,20023386,L,12,A194,24.85,24.15,3.73,13.43,6.99,6.99,,,
A195,11473842818700205,11/22/20,20020494,L,12,A195,22.15,22.48,3.32,12.17,6.99,6.99,,,
A196,11144835404150648,11/22/20,20020663,L,12,A196,22.17,22.49,3.33,12.17,6.99,6.99,,,
A197,11471036887501059,11/20/20,20019510,L,3,A197,63.24,51.4425,9.48,36.72,5.2425,5.2425,,,
A198,11366332291293822,11/9/20,20016799,L,1,A198,47.96,47.61,7.19,35.67,4.75,4.75,,,
A199,11105267322344269,11/17/20,20018731,L,1,A199,50.11,47.94,7.52,35.67,4.75,4.75,,,
A200,11403423002290670,11/29/20,20023855,L,12,A200,24.85,24.15,3.73,13.43,6.99,6.99,,,
A201,11401249041082634,11/30/20,20024308,L,1,A201,17.27,17.33,2.59,9.99,4.75,4.75,,,
A202,11387569743369826,11/30/20,20023931,L,12,A202,24.85,24.15,3.73,13.43,6.99,6.99,,,
A203,11234455303633007,11/12/20,20017110,D,1,A203,15.98,65,2.4,4.6,58,58,,,
A204,11439060438553849,11/7/20,20015738,L,6,A204,16.31,21.62,2.45,12.18,6.99,6.99,,,
A205,11168205807160244,11/7/20,20015997,L,1,A205,47.96,47.61,7.19,35.67,4.75,4.75,,,
A206,11140872976458655,11/8/20,20016089,L,6,A206,16.31,21.62,2.45,12.18,6.99,6.99,,,
A207,11346199323149010,11/23/20,20020770,L,1,A207,14.28,14.26,2.14,5.13,6.99,6.99,,,
A208,11483061593302660,11/5/20,20001710,N,1,A208,59.04,44.53,8.86,35.67,0,0,,,
A209,11360111396314638,11/29/20,20023898,L,1,A209,14.69,14.32,2.2,5.13,6.99,6.99,,,
A210,11118228871006607,11/29/20,20023667,L,12,A210,24.85,24.15,3.73,13.43,6.99,6.99,,,
A211,11249951326141822,11/15/20,20017907,L,12,A211,60.3,61.03,9.05,42.48,9.5,9.5,,,
